,brand,product_name,diskon,price
0,SUKO,Suko Fine Katun Kemeja Lengan Pendek Pria,28%,Rp 179.000
1,Nevada,Nevada Boxy French Nickelodeon Spongebob Patrick Sweater Wanita,20%,Rp 160.000
2,Connexion,Connexion Basic Poly Ploi 2 Lower Waistband Celana Panjang Wanita,15%,Rp 170.000
3,Nevada,Nevada Double Strap Buckle Slipper Sandal Pria,15%,Rp 111.000
4,Cole,Cole Graphic Puff Stich Kaos Pria,25%,Rp 89.925
5,SUKO,Suko Graphic Lengan Pendek Raglan Kaos Anak Laki-laki,40%,Rp 60.000
6,Cole,Cole Graphic Hd Saturdays Reg Fit Kaos Pria,25%,Rp 89.925
7,SUKO,Suko Klasik Woven Top Kemeja Oxford Pria,22%,Rp 179.000
8,Cole,Cole Knit Fleace Piping Celana Pendek Pria,25%,Rp 119.920
9,ST. YVES,St. Yves Double Strap Sandal Slipper Wanita,20%,Rp 120.000
10,Nevada,Nevada Sandal Slipper Pria,15%,Rp 111.000
11,Cole,Cole Micro Basic Highneck Jaket Pria,20%,Rp 239.920
12,Cole,Cole Graphic Foaming Abstract Reg Fit Kaos Pria,25%,Rp 89.925
13,Nevada,Nevada Solid Boxy French Terry Jaket Wanita,15%,Rp 195.500
14,Nevada,Nevada Y-Strap Sandal Flip Flops Pria,15%,Rp 85.000
15,Little M,Little M Oversize Cut Sewn Great Crew Sweater Anak Laki-laki,30%,Rp 85.000
16,Little M,Little M Giraffe Outline Print Kaos Lengan Pendek Anak Laki-laki,35%,Rp 32.500
17,Nevada,Nevada Deer Sunshine Kaos Oversize Wanita,15%,Rp 85.000
18,Nevada,Nevada Print Animal Cat Kaos Anak Perempuan,15%,Rp 51.000
19,Cole,Cole Woven Bermuda Cut Pocket Celana Pendek Pria,20%,Rp 143.920
20,Connexion,Connexion Esmic With Elastic Celana Panjang Wanita,50%,Rp 125.000
21,Cole,Cole Stripes Rugby Kaos Polo Pria,20%,Rp 119.920
22,Disney,Disney Toys Story Baju Piyama Anak Laki-laki,50%,Rp 74.900
23,Little M,Little M Korduroy Selutut Jumpsuit Overall Bayi,15%,Rp 127.500
24,Cole,Cole Cut &Sewn Manset Jacquard Kaos Pria,25%,Rp 112.425
25,Cole,Cole Knit Fleace Piping Celana Panjang  Jogger Pria,20%,Rp 143.920
26,Little M,Little M Washing Celana Pendek Anak Laki-laki,50%,Rp 65.000
27,Cole,Cole Stripe Print Kemeja Pria,20%,Rp 143.920
28,Nevada,Nevada Cut Flare Celana Panjang Anak Perempuan,35%,Rp 129.000
29,ST. YVES,St. Yves SCC7 Sepatu Flat Wanita,20%,Rp 120.000
30,Little M,Little M Woven With Pocket Celana Pendek Anak Bayi,15%,Rp 110.500
31,Little M,Little M Textured Knit Celana Panjang Bayi,15%,Rp 85.000
32,Cole,Cole Dobbie Texture Kemeja Pria,20%,Rp 143.920
33,Little M,Little M Non Hoodie Chenille Sweater Anak Bayi,30%,Rp 110.500
34,Cole,Cole Graphic Building Embroidery Kaos Lengan Pendek Pria,25%,Rp 89.925
